date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:15:57	75976/75976	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Oct%202024%2007:45:56%20GMT	https://p.w3layouts.com/demos_new/30-01-2017/electronic_store-demo_Free/192355906/web/index.html	C:/My%20Web%20Sites/e-commerece/p.w3layouts.com/demos_new/30-01-2017/electronic_store-demo_Free/192355906/web/index.html	(from )
13:15:57	1003/1003	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Oct%202024%2007:45:57%20GMT	https://p.w3layouts.com/robots.txt		(from )
13:15:58	141622/141622	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2018:59:42%20GMT	https://p.w3layouts.com/demos_new/30-01-2017/electronic_store-demo_Free/192355906/web/css/bootstrap.css	C:/My%20Web%20Sites/e-commerece/p.w3layouts.com/demos_new/30-01-2017/electronic_store-demo_Free/192355906/web/css/bootstrap.css	(from https://p.w3layouts.com/demos_new/30-01-2017/electronic_store-demo_Free/192355906/web/index.html)
13:15:59	106283/106283	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2018:59:42%20GMT	https://p.w3layouts.com/demos_new/30-01-2017/electronic_store-demo_Free/192355906/web/css/style.css	C:/My%20Web%20Sites/e-commerece/p.w3layouts.com/demos_new/30-01-2017/electronic_store-demo_Free/192355906/web/css/style.css	(from https://p.w3layouts.com/demos_new/30-01-2017/electronic_store-demo_Free/192355906/web/index.html)
13:16:00	6063/6063	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2018:59:42%20GMT	https://p.w3layouts.com/demos_new/30-01-2017/electronic_store-demo_Free/192355906/web/css/fasthover.css	C:/My%20Web%20Sites/e-commerece/p.w3layouts.com/demos_new/30-01-2017/electronic_store-demo_Free/192355906/web/css/fasthover.css	(from https://p.w3layouts.com/demos_new/30-01-2017/electronic_store-demo_Free/192355906/web/index.html)
13:16:00	7125/7125	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2018:59:42%20GMT	https://p.w3layouts.com/demos_new/30-01-2017/electronic_store-demo_Free/192355906/web/css/popuo-box.css	C:/My%20Web%20Sites/e-commerece/p.w3layouts.com/demos_new/30-01-2017/electronic_store-demo_Free/192355906/web/css/popuo-box.css	(from https://p.w3layouts.com/demos_new/30-01-2017/electronic_store-demo_Free/192355906/web/index.html)
13:16:01	35128/35128	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2018:59:42%20GMT	https://p.w3layouts.com/demos_new/30-01-2017/electronic_store-demo_Free/192355906/web/css/font-awesome.css	C:/My%20Web%20Sites/e-commerece/p.w3layouts.com/demos_new/30-01-2017/electronic_store-demo_Free/192355906/web/css/font-awesome.css	(from https://p.w3layouts.com/demos_new/30-01-2017/electronic_store-demo_Free/192355906/web/index.html)
13:16:02	94840/94840	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2019%20Sep%202017%2018:59:42%20GMT	https://p.w3layouts.com/demos_new/30-01-2017/electronic_store-demo_Free/192355906/web/js/jquery.min.js	C:/My%20Web%20Sites/e-commerece/p.w3layouts.com/demos_new/30-01-2017/electronic_store-demo_Free/192355906/web/js/jquery.min.js	(from https://p.w3layouts.com/demos_new/30-01-2017/electronic_store-demo_Free/192355906/web/index.html)
13:16:03	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2001%20Oct%202024%2007:46:03%20GMT	http://m.servedby-buysellads.com/monetization.js	C:/My%20Web%20Sites/e-commerece/m.servedby-buysellads.com/monetization.8.delayed	(from https://p.w3layouts.com/demos_new/30-01-2017/electronic_store-demo_Free/192355906/web/index.html)
13:16:03	1858/1858	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2018:59:42%20GMT	https://p.w3layouts.com/demos_new/30-01-2017/electronic_store-demo_Free/192355906/web/css/jquery.countdown.css	C:/My%20Web%20Sites/e-commerece/p.w3layouts.com/demos_new/30-01-2017/electronic_store-demo_Free/192355906/web/css/jquery.countdown.css	(from https://p.w3layouts.com/demos_new/30-01-2017/electronic_store-demo_Free/192355906/web/index.html)
